Year,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon,high_temp_days,low_temp_days,heavy_rain_days,snow_days,high_wind_days,low_visibility_days,cloudy_days
1991,Los Angeles,34.054908,-118.242643,67.28640411,,53.87006164,67.17838699,64.28189954,69.66679452,1014.588014,,,65.56130137,4.223791096,169.4908676,,1.03664723,,,,31.40228311,803,Clouds,broken clouds,04d,42,34,4,0,75,0,33
1991,Palm Springs,33.830296,-116.545292,70.74266332,9566.115702,45.65963174,69.35364611,67.97751226,74.67542013,1013.623874,,,45.65032493,4.659252081,224.1576787,35.67041667,0.9296285714,,,,26.69604378,803,Clouds,broken clouds,04d,10,37,10,0,17,15,60
1991,Riverside,33.980601,-117.375494,63.87030701,5200,48.77043027,63.02624401,62.24160123,65.49177243,1014.584456,,,61.89397398,3.195615156,176.0990641,,0.9878356713,,,,30.72357909,803,Clouds,broken clouds,04d,17,35,6,0,6,2,35
1991,San Francisco,37.774929,-122.419415,56.90492009,,51.36207534,55.93188699,55.53332877,58.26266895,1016.27032,,,82.73105023,8.369482877,238.6905251,,0.8137005164,,,,51.41289954,800,Clear,sky is clear,01d,21,42,4,0,51,0,31
1991,South Lake Tahoe,38.939926,-119.977187,42.56193391,9487.548387,29.78028503,39.95159664,40.58351124,44.66076084,1016.911083,,,65.09811492,4.422106518,185.0667727,24.65931174,0.671571754,,0.7049261745,,42.95400863,800,Clear,sky is clear,01d,20,43,8,7,20,23,42
1992,Eureka,40.802071,-124.163673,55.23914809,8656.104869,50.73288899,54.13082689,53.01801979,57.731846,1015.802889,,,85.2205414,8.194298226,215.7325978,28.63,0.7797362942,,,,56.06426297,802,Clouds,scattered clouds,03d,67,16,11,0,38,45,20
1992,Fresno,36.737798,-119.787125,65.18301222,8705.553741,49.83306381,64.21231132,64.11993047,66.24005607,1013.874061,,,62.22406639,5.202952787,221.9020971,25.95,0.8228384992,,,,35.24526186,801,Clouds,few clouds,02d,27,49,9,0,25,43,46
1992,Los Angeles,34.054908,-118.242643,68.70410178,,56.84715847,69.04276298,65.91795423,70.82905738,1013.774021,,,69.11885246,4.126681466,162.2041211,,1.005472371,,,,38.2098133,803,Clouds,broken clouds,04d,60,30,8,0,60,0,51
1992,Palm Springs,33.830296,-116.545292,71.74912841,9666.297683,46.76440682,70.57306818,69.07512727,75.69111136,1013.224659,,,46.46977273,4.487917045,220.0567045,28.92055556,0.7856148492,,,,32.99306818,800,Clear,sky is clear,01d,23,50,14,0,7,15,84
1992,Riverside,33.980601,-117.375494,65.28401753,9023.5,51.06204007,64.62488274,63.63465733,66.9499704,1013.921903,,,64.1609745,3.194347678,167.9139344,,0.8823066667,,,,39.09107468,802,Clouds,scattered clouds,03d,39,37,9,0,1,1,57
